Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,
27044.2,x,,di- + <jahitkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27044.3,x,,<dijahit> + -kan,bentukan,[29] [S] -kan + (<all>),
27044.4,x,,<dijahitk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27045,v,3,dijahitnya,dasar,,
27045.1,x,,di- + <jahitnya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27045.2,x,,<dijahit> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27045.3,v,,di- + <jahit> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
,,,,,,
27046,v,56,dijajah,dasar,,
27046.1,v,,di- + <jajah>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27047,v,2,dijajahnya,dasar,,
27047.1,x,,di- + <jajahnya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27047.2,x,,<dijajah> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27047.3,v,,di- + <jajah> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
,,,,,,
27048,v,41,dijajakan,dasar,,
27048.1,v,,di- + <jaja> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27048.2,x,,di- + <jajakan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27048.3,x,,<dijaja> + -kan,bentukan,[29] [S] -kan + (<all>),
27048.4,x,,<dijajak> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27049,v,25,dijajaki,dasar,,
27049.1,v,,di- + <jajak> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27049.2,x,,di- + <jajaki>,bentukan,[37] di- + (<all>) + (-i;-kan),
27049.3,x,,<dijajak> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27050,v,18,dijajal,dasar,,
27050.1,v,,di- + <jajal>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27051,v,3,dijajar,dasar,,
27051.1,v,,di- + <jajar>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27052,v,5,dijajarkan,dasar,,
27052.1,v,,di- + <jajar> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27052.2,x,,di- + <jajarkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27052.3,x,,<dijajar> + -kan,bentukan,[29] [S] -kan + (<all>),
27052.4,x,,<dijajark> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27053,v,313,dijalani,dasar,,
27053.1,v,,di- + <jalan> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27053.2,x,,di- + <jalani>,bentukan,[37] di- + (<all>) + (-i;-kan),
27053.3,x,,<dijalan> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27054,t,5,dijalanin,dasar,,
27054.1,x,,di- + <jalanin>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27055,v,118,dijalaninya,dasar,,
27055.1,x,,di- + <jalaninya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27055.2,x,,<dijalani> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27055.3,v,,di- + <jalan> + -i + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27055.4,x,,di- + <jalani> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27055.5,x,,<dijalan> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27056,v,1148,dijalankan,dasar,,
27056.1,v,,di- + <jalan> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27056.2,x,,di- + <jalankan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27056.3,x,,<dijalan> + -kan,bentukan,[29] [S] -kan + (<all>),
27056.4,x,,<dijalank> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27057,v,55,dijalankannya,dasar,,
27057.1,x,,di- + <jalankannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27057.2,x,,<dijalankan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27057.3,v,,di- + <jalan> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27057.4,x,,di- + <jalankan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27057.5,x,,<dijalan> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),
27057.6,x,,<dijalank> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27058,v,8,dijalari,dasar,,
27058.1,v,,di- + <jalar> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27058.2,x,,di- + <jalari>,bentukan,[37] di- + (<all>) + (-i;-kan),
27058.3,x,,<dijalar> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27059,v,66,dijalin,dasar,,
27059.1,v,,di- + <jalin>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27060,v,23,dijamah,dasar,,
27060.1,v,,di- + <jamah>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27061,v,2,dijamahlah,dasar,,
27061.1,x,,di- + <jamahlah>,bentukan,[37] di- + (<all>) + (-i;-kan),
27061.2,x,,<dijamah> + -lah,bentukan,[31] [FS] -lah + (<all>),
27061.3,v,,di- + <jamah> + -lah,bentukan,[37] di- + (<all>) + (-i;-kan) => [31] [FS] -lah + (<all>),
,,,,,,
27062,v,4,dijamak,dasar,,
27062.1,v,,di- + <jamak>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27063,v,5,dijambak,dasar,,
27063.1,v,,di- + <jambak>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27064,v,2,dijambaknya,dasar,,
27064.1,x,,di- + <jambaknya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27064.2,x,,<dijambak> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27064.3,v,,di- + <jambak> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
,,,,,,
27065,v,3,dijambret,dasar,,
27065.1,v,,di- + <jambret>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27066,v,605,dijamin,dasar,,
27066.1,v,,di- + <jamin>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27067,v,55,dijaminkan,dasar,,
27067.1,v,,di- + <jamin> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27067.2,x,,di- + <jaminkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27067.3,x,,<dijamin> + -kan,bentukan,[29] [S] -kan + (<all>),
27067.4,x,,<dijamink> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27068,v,26,dijamu,dasar,,
27068.1,v,,di- + <jamu>,bentukan,[37] di- + (<all>) + (-i;-kan),
27068.2,x,,<dija> + -mu,bentukan,[33] [SFS] -mu + (<all>),
27068.3,x,,di- + <ja> + -mu,bentukan,[37] di- + (<all>) + (-i;-kan) => [33] [SFS] -mu + (<all>),
,,,,,,
27069,v,5,dijangkarkan,dasar,,
27069.1,v,,di- + <jangkar> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27069.2,x,,di- + <jangkarkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27069.3,x,,<dijangkar> + -kan,bentukan,[29] [S] -kan + (<all>),
27069.4,x,,<dijangkark> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27070,v,302,dijangkau,dasar,,
27070.1,v,,di- + <jangkau>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27071,v,4,dijangkaunya,dasar,,
27071.1,x,,di- + <jangkaunya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27071.2,x,,<dijangkau> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27071.3,v,,di- + <jangkau> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
,,,,,,
27072,v,13,dijangkiti,dasar,,
