Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,
124547.1,v,,ter- + <aduk> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|,,,,
,,,,,,,,,
124548,k,0,teradukan,dasar,,,,,
124548.1,x,,[ter-:te-] + <radu> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124548.2,x,,[ter-:te-] + <raduk> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124548.3,x,,[ter-:te-] + <radukan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124548.4,v,,ter- + <adu> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124548.5,x,,ter- + <aduk> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124548.6,x,,ter- + <adukan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124548.7,x,,<teradu> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124548.8,x,,<teraduk> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124549,k,0,teraerasi,dasar,,,,,
124549.1,x,,[ter-:te-] + <raeras> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124549.2,x,,[ter-:te-] + <raerasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124549.3,x,,ter- + <aeras> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124549.4,v,,ter- + <aerasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124549.5,x,,<teraeras> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124550,k,95,terafiliasi,dasar,,,,,
124550.1,x,,[ter-:te-] + <rafilias> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124550.2,x,,[ter-:te-] + <rafiliasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
