Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,,,,
122087,k,0,tanggah,dasar,,,,,,,,
,,,,,,,,,,,,
122088,v,4,tanggaku,dasar,,,,,,,,
122088.1,v,,<tangga> + -ku,bentukan,[32] [SFS] -ku + (<all>),,,,,,,
,,,,,,,,,,,,
122089,k,5766,tanggal,dasar,,,,,,,,
,,,,,,,,,,,,
122090,k,0,tanggal akhir kontrak,dasar,,,,,,,,
,,,,,,,,,,,,
122091,k,0,tanggal akhir perjanjian,dasar,,,,,,,,
122091.1,x,,<tanggal akhir perjanji> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122092,k,0,tanggal akhir program,dasar,,,,,,,,
,,,,,,,,,,,,
122093,k,0,tanggal berita,dasar,,,,,,,,
,,,,,,,,,,,,
122094,k,0,tanggal efektif,dasar,,,,,,,,
,,,,,,,,,,,,
122095,k,0,tanggal jatuh tempo,dasar,,,,,,,,
,,,,,,,,,,,,
122096,k,0,tanggal mati,dasar,,,,,,,,
122096.1,x,,<tanggal mat> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122097,k,0,tanggal merah,dasar,,,,,,,,
,,,,,,,,,,,,
122098,k,0,tanggal muda,dasar,,,,,,,,
,,,,,,,,,,,,
122099,k,0,tanggal pembukuan,dasar,,,,,,,,
122099.1,x,,<tanggal pembuku> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122100,k,0,tanggal surut,dasar,,,,,,,,
,,,,,,,,,,,,
122101,k,0,tanggal terbit,dasar,,,,,,,,
,,,,,,,,,,,,
122102,k,0,tanggal tua,dasar,,,,,,,,
,,,,,,,,,,,,
122103,v,19,tanggal-tanggal,dasar,,,,,,,,
122103.1,v,,<tanggal> [-] <r>,bentukan,[23] [RD] |,,,,,,,
,,,,,,,,,,,,
122104,v,5,tanggalan,dasar,,,,,,,,
122104.1,v,,<tanggal> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122105,v,12,tanggalkan,dasar,,,,,,,,
122105.1,v,,<tanggal> + -kan,bentukan,[29] [S] -kan + (<all>),,,,,,,
122105.2,x,,<tanggalk> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122106,v,31,tanggalnya,dasar,,,,,,,,
122106.1,v,,<tanggal> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122107,k,0,tanggam,dasar,,,,,,,,
,,,,,,,,,,,,
122108,v,6,tanggamu,dasar,,,,,,,,
122108.1,v,,<tangga> + -mu,bentukan,[33] [SFS] -mu + (<all>),,,,,,,
,,,,,,,,,,,,
122109,k,44,tanggamus,dasar,,,,,,,,
,,,,,,,,,,,,
122110,k,0,tanggang,dasar,,,,,,,,
,,,,,,,,,,,,
122111,v,161,tangganya,dasar,,,,,,,,
122111.1,v,,<tangga> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122112,k,333,tanggap,dasar,,,,,,,,
,,,,,,,,,,,,
122113,k,0,tanggap jiwa,dasar,,,,,,,,
,,,,,,,,,,,,
122114,k,738,tanggapan,dasar,,,,,,,,
122114.1,v,,<tanggap> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122115,v,10,tanggapan-tanggapan,dasar,,,,,,,,
