Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,,,,
122527,c,5,tarip,dasar,tarif,,,,,,,
,,,,,,,,,,,,
122528,k,0,tariqat,dasar,,,,,,,,
,,,,,,,,,,,,
122529,k,6,taris,dasar,,,,,,,,
122529.1,x,,<tari> + [-is:-s],bentukan,[177] [S] -is + (i),,,,,,,
122529.2,x,,<tar> + -is,bentukan,[178] [S] -is + (<others>),,,,,,,
,,,,,,,,,,,,
122530,k,8,tarjih,dasar,,,,,,,,
,,,,,,,,,,,,
122531,k,0,tarkas,dasar,,,,,,,,
,,,,,,,,,,,,
122532,k,0,tarkasy,dasar,,,,,,,,
,,,,,,,,,,,,
122533,k,0,tarkhim,dasar,,,,,,,,
,,,,,,,,,,,,
122534,k,8,tarling,dasar,,,,,,,,
,,,,,,,,,,,,
122535,k,0,tarmak,dasar,,,,,,,,
,,,,,,,,,,,,
122536,k,0,tarof,dasar,,,,,,,,
,,,,,,,,,,,,
122537,k,11,tarot,dasar,,,,,,,,
,,,,,,,,,,,,
122538,k,0,tarpaulin,dasar,,,,,,,,
,,,,,,,,,,,,
122539,k,0,tarpentin,dasar,,,,,,,,
,,,,,,,,,,,,
122540,c,3,tarra,dasar,tara,,,,,,,
,,,,,,,,,,,,
122541,k,2,tarsius,dasar,,,,,,,,
,,,,,,,,,,,,
122542,k,0,tarsus,dasar,,,,,,,,
,,,,,,,,,,,,
122543,k,2,tartan,dasar,,,,,,,,
122543.1,x,,<tart> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122544,k,4,tartar,dasar,,,,,,,,
,,,,,,,,,,,,
122545,k,15,tartil,dasar,,,,,,,,
,,,,,,,,,,,,
122546,k,0,tartir,dasar,,,,,,,,
,,,,,,,,,,,,
122547,k,2,tartrat,dasar,,,,,,,,
,,,,,,,,,,,,
122548,k,0,taru,dasar,,,,,,,,
,,,,,,,,,,,,
122549,c,15,tarub,dasar,tarup,,,,,,,
,,,,,,,,,,,,
122550,k,85,taruh,dasar,,,,,,,,
,,,,,,,,,,,,
122551,k,0,taruh kata,dasar,,,,,,,,
,,,,,,,,,,,,
122552,k,72,taruhan,dasar,,,,,,,,
122552.1,v,,<taruh> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122553,v,2,taruhanmu,dasar,,,,,,,,
122553.1,x,,<taruhan> + -mu,bentukan,[33] [SFS] -mu + (<all>),,,,,,,
122553.2,v,,<taruh> + -an + -mu,bentukan,[38] [S] -an + (<all>) => [33] [SFS] -mu + (<all>),,,,,,,
